"colostrum","milky fluid secreted for the first day or two after parturition"
"pocket","(anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)"
"marsupium","an external abdominal pouch in most marsupials where newborn offspring are suckled"
"scrotum","the external pouch that contains the testes"
"vesicle","a small anatomically normal sac or bladderlike structure (especially one containing fluid)"
"cyst","a small anatomically normal sac or bladderlike structure (especially one containing fluid)"
"blister","(pathology) an elevation of the skin filled with serous fluid"
"bulla","(pathology) an elevation of the skin filled with serous fluid"
"bleb","(pathology) an elevation of the skin filled with serous fluid"
"follicle","any small spherical group of cells containing a cavity"
"oviduct","either of a pair of tubes conducting the egg from the ovary to the uterus"
"uterus","a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
"womb","a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
"decidua","the epithelial tissue of the endometrium"
"endometrium","(pregnancy) the mucous membrane that lines the uterus; thickens under hormonal control and (if pregnancy does not occur) is shed in menstruation; if pregnancy occurs it is shed along with the placenta at parturition"
"myometrium","the smooth muscle forming the wall of the uterus"
"liposome","an artificially made microscopic vesicle into which nucleic acids can be packaged; used in molecular biology as a transducing vector"
"placenta","the vascular structure in the uterus of most mammals providing oxygen and nutrients for and transferring wastes from the developing fetus"
"afterbirth","the placenta and fetal membranes that are expelled from the uterus after the baby is born"
"vagina","the lower part of the female reproductive tract; a moist canal in female mammals extending from the labia minora to the uterus; ""the vagina receives the penis during coitus""; ""the vagina is elastic enough to allow the passage of a fetus"""
"cunt","obscene terms for female genitals"
"puss","obscene terms for female genitals"
"pussy","obscene terms for female genitals"
"slit","obscene terms for female genitals"
"snatch","obscene terms for female genitals"
"twat","obscene terms for female genitals"
"vulva","external parts of the female genitalia"
"hymen","a fold of tissue that partly covers the entrance to the vagina of a virgin"
"maidenhead","a fold of tissue that partly covers the entrance to the vagina of a virgin"
"mons","a mound of fatty tissue covering the pubic area in women"
"labium","any of the four lip-shaped folds of the female vulva"
"clitoris","a female sexual organ homologous to the penis"
"clit","a female sexual organ homologous to the penis"
"button","a female sexual organ homologous to the penis"
"gonad","a gland in which gametes (sex cells) are produced"
"testis","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"testicle","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"orchis","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"ball","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"ballock","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"bollock","one of the two male reproductive glands that produce spermatozoa and secrete androgens; ""she kicked him in the balls and got away"""
"cobblers","a man''s testicles (from Cockney rhyming slang: cobbler''s awl rhymes with ball)"
"epididymis","a convoluted tubule in each testis; carries sperm to vas deferens"
"penis","the male organ of copulation (`member'' is a euphemism)"
"phallus","the male organ of copulation (`member'' is a euphemism)"
"member","the male organ of copulation (`member'' is a euphemism)"
"cock","obscene terms for penis"
"prick","obscene terms for penis"
"dick","obscene terms for penis"
"shaft","obscene terms for penis"
"pecker","obscene terms for penis"
"peter","obscene terms for penis"
"tool","obscene terms for penis"
"putz","obscene terms for penis"
"micropenis","an abnormally small penis"
"microphallus","an abnormally small penis"
"prepuce","a fold of skin covering the tip of the penis"
"foreskin","a fold of skin covering the tip of the penis"
"prepuce","a fold of skin covering the tip of the clitoris"
"foreskin","a fold of skin covering the tip of the clitoris"
"alveolus","a tiny sac for holding air in the lungs; formed by the terminal dilation of tiny air passageways"
"nasopharynx","cavity forming the upper part of the pharynx"
"oropharynx","cavity formed by the pharynx at the back of the mouth"
"adenoid","a collection of lymphatic tissue in the throat behind the uvula (on the posterior wall and roof of the nasopharynx); ""hypertrophy of the pharyngeal tonsils is called adenoids""; ""enlarged adenoids may restrict the breathing of children"""
"larynx","a cartilaginous structure at the top of the trachea; contains elastic vocal cords that are the source of the vocal tone in speech"
"arytenoid","either of two small cartilages at the back of the larynx to which the vocal folds are attached"
"arytaenoid","either of two small cartilages at the back of the larynx to which the vocal folds are attached"
"bronchus","either of the two main branches of the trachea"
"bronchiole","any of the smallest bronchial ducts; ending in alveoli"
"trachea","membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi"
"windpipe","membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi"
"trachea","one of the tubules forming the respiratory system of most insects and many arachnids"
"enteron","the alimentary canal (especially of an embryo or a coelenterate)"
"esophagus","the passage between the pharynx and the stomach"
"oesophagus","the passage between the pharynx and the stomach"
"gorge","the passage between the pharynx and the stomach"
"gullet","the passage between the pharynx and the stomach"
"epicardia","the short part of the esophagus extending downward from the diaphragm to the stomach"
