"venial","warranting only temporal punishment; ""venial sin"""
"correctable","capable of being returned to the original condition; not necessarily permanent; ""a correctable image"""
"rechargeable","capable of being recharged; ""a rechargeable battery"""
"irreversible","impossible to reverse or be reversed; ""irreversible momentum toward revolution"""
"permanent","not capable of being reversed or returned to the original condition; ""permanent brain damage"""
"reversible","capable of being reversed or used with either side out; ""a reversible jacket"""
"nonreversible","not reversible or capable of having either side out"
"revocable","capable of being revoked or annulled; ""a revocable order"""
"revokable","capable of being revoked or annulled; ""a revocable order"""
"rescindable","capable of being rescinded or voided; ""the judgment was rescindable""; ""voidable contracts"""
"voidable","capable of being rescinded or voided; ""the judgment was rescindable""; ""voidable contracts"""
"reversible","capable of being reversed; ""a reversible decision is one that can be appealed or vacated"""
"irrevocable","impossible to retract or revoke; ""firm and irrevocable is my doom""- Shakespeare"
"irrevokable","impossible to retract or revoke; ""firm and irrevocable is my doom""- Shakespeare"
"irreversible","impossible to reverse or undo; ""an irreversible decree"""
"sealed","determined irrevocably; ""his fate is sealed"""
"permissible","that may be permitted especially as according to rule; ""permissible behavior in school""; ""a permissible tax deduction"""
"allowable","possible to allow; ""a degree of freedom allowable among friends"""
"permitted","possible to allow; ""a degree of freedom allowable among friends"""
"impermissible","not permitted; ""impermissible behavior"""
"forbidden","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"out(p)","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"prohibited","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"proscribed","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"taboo","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"tabu","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"verboten","excluded from use or mention; ""forbidden fruit""; ""in our house dancing and playing cards were out""; ""a taboo subject"""
"unmentionable","unsuitable or forbidden as a topic of conversation; ""unmentionable words"""
"untouchable","forbidden to the touch; ""in most museums such articles are untouchable"""
"admissible","deserving to be admitted; ""admissible evidence"""
"admittable","deserving to be allowed to enter"
"admittible","deserving to be allowed to enter"
"allowable","deserving to be allowed or considered"
"permissible","that may be accepted or conceded; ""a kind of speculation that was permissible in cosmology but inadmissible in medicine"""
"inadmissible","not deserving to be admitted; ""inadmissible evidence"""
"impermissible","not allowable"
"permissive","granting or inclined or able to grant permission; not strict in discipline; ""direct primary legislation is largely permissive rather than prescriptive""; ""permissive parents"""
"indulgent","tolerant or lenient; ""indulgent parents risk spoiling their children""; ""procedures are lax and discipline is weak""; ""too soft on the children"""
"lax","tolerant or lenient; ""indulgent parents risk spoiling their children""; ""procedures are lax and discipline is weak""; ""too soft on the children"""
"lenient","tolerant or lenient; ""indulgent parents risk spoiling their children""; ""procedures are lax and discipline is weak""; ""too soft on the children"""
"soft","tolerant or lenient; ""indulgent parents risk spoiling their children""; ""procedures are lax and discipline is weak""; ""too soft on the children"""
"unpermissive","not inclined to grant permission; severe in discipline"
"authoritarian","likened to a dictator in severity"
"dictatorial","likened to a dictator in severity"
"nonindulgent","not indulgent; ""strict parents"""
"strict","not indulgent; ""strict parents"""
"permissive","not preventive"
"bailable","admitting of bail; ""a bailable offense"""
"preventive","tending to prevent or hinder"
"preventative","tending to prevent or hinder"
"blockading","blocking entrance to and exit from seaports and harbors; ""the blockading ships prevented delivery of munitions"""
"clogging","preventing movement; ""the clogging crowds of revelers overflowing into the street"""
"hindering","preventing movement; ""the clogging crowds of revelers overflowing into the street"""
"impeding","preventing movement; ""the clogging crowds of revelers overflowing into the street"""
"obstructive","preventing movement; ""the clogging crowds of revelers overflowing into the street"""
"deterrent","tending to deter; ""the deterrent effects of high prices"""
"frustrating","preventing realization or attainment of a desire"
"frustrative","preventing realization or attainment of a desire"
"thwarting","preventing realization or attainment of a desire"
"precautionary","taken in advance to protect against possible danger or failure; ""gave precautionary advice""; ""I would take precautionary steps to keep him away"""
"precautional","taken in advance to protect against possible danger or failure; ""gave precautionary advice""; ""I would take precautionary steps to keep him away"""
"preclusive","made impossible"
"obviating(a)","made impossible"
"preemptive","designed or having the power to deter or prevent an anticipated situation or occurrence; ""a preemptive business offer"""
"prohibitive","tending to discourage (especially of prices); ""the price was prohibitive"""
"prohibitory","tending to discourage (especially of prices); ""the price was prohibitive"""
"perplexed","full or difficulty or confusion or bewilderment; ""perplexed language""; ""perplexed state of the world"""
"nonplused","filled with bewilderment; ""at a loss to understand those remarks""; ""puzzled that she left without saying goodbye"""
"nonplussed","filled with bewilderment; ""at a loss to understand those remarks""; ""puzzled that she left without saying goodbye"""
"puzzled","filled with bewilderment; ""at a loss to understand those remarks""; ""puzzled that she left without saying goodbye"""
"baffled","perplexed by many conflicting situations or statements; filled with bewilderment; ""obviously bemused by his questions""; ""bewildered and confused""; ""a cloudy and confounded philosopher""; ""just a mixed-up kid""; ""she felt lost on the first day of school"""
"befuddled","perplexed by many conflicting situations or statements; filled with bewilderment; ""obviously bemused by his questions""; ""bewildered and confused""; ""a cloudy and confounded philosopher""; ""just a mixed-up kid""; ""she felt lost on the first day of school"""
"bemused","perplexed by many conflicting situations or statements; filled with bewilderment; ""obviously bemused by his questions""; ""bewildered and confused""; ""a cloudy and confounded philosopher""; ""just a mixed-up kid""; ""she felt lost on the first day of school"""
"bewildered","perplexed by many conflicting situations or statements; filled with bewilderment; ""obviously bemused by his questions""; ""bewildered and confused""; ""a cloudy and confounded philosopher""; ""just a mixed-up kid""; ""she felt lost on the first day of school"""
